ref,official_name,name,distance
О040101,Апостолове – Грушівка,Апостолове – Грушівка,25.985
О040102,Апостолове – Перше Травня – /Н-23/,Апостолове – Перше Травня – Н-23,7.736
О040103,Вільне – Михайлівка – Кам’янка – Шолохове,Вільне – Михайлівка – Кам’янка – Шолохове,38.292
О040104,Зеленодольск – Велика Костромка,Зеленодольск – Велика Костромка,4.951
О040106,Жовте – Станція Жовтокам’янка,Жовте – Станція Жовтокам’янка,2.784
О040107,Тарасо-Григорівка – станція Павлопілля – Приют,Тарасо-Григорівка – станція Павлопілля – Приют,18.725
О040110,Українка – Зеленодольск,Українка – Зеленодольск,4.845
О040201,Васильківка – Миколаївка,Васильківка – Миколаївка,23.51
О040202,Васильківка – Чаплине,Васильківка – Чаплине,18.602
О040203,Васильківка – Письменне,Васильківка – Письменне,14.25
О040204,Дубовики – Шевченкове – Чаплине,Дубовики – Шевченкове – Чаплине,12.56
О040206,Під’їзд до смт Васильківка,Під’їзд до смт Васильківка,4.895
О040301,Верхньодніпровськ – Боровківка – Доброгірське,Верхньодніпровськ – Боровківка – Доброгірське,29.042
О040303,Верхньодніпровськ – санаторій “Славутич”,Верхньодніпровськ – санаторій “Славутич”,2.146
О040304,Верхівцеве – Червоноіванівка – Кринички,Верхівцеве – Червоноіванівка – Кринички,28.695
О040305,Дмитрівка – /Т-04-15/,Дмитрівка – Т-04-15,10.02
О040306,Боровківка – станція Воєводівка,Боровківка – станція Воєводівка,8.023
О040307,/Н-08/ – Дніпровське,Н-08 – Дніпровське,3.225
О040308,Мости – Ганнівка,Мости – Ганнівка,3.738
О040309,/Н-08/ – Заріччя,Н-08 – Заріччя,2.438
О040310,Томаківка – Боровківка – Верхівцеве,Томаківка – Боровківка – Верхівцеве,12.774
О040401,/Н-08/ – Волоське – Майорка,Н-08 – Волоське – Майорка,15.3
О040402,Станція Сухачівка – Горького,Станція Сухачівка – Горького,9.43
О040404,/Чаплі – Любимівка – Перше Травня/ – /Діброва – /М18//,Чаплі – Любимівка – Перше Травня – О041605,15.6
О040406,Під’їзд до станції Сурське,Під’їзд до станції Сурське,0.318
О040407,Правий місцевий проїзд по м. Підгородне,Правий місцевий проїзд по м. Підгородне,2.53
О040408,Лівий місцевий проїзд по м. Підгородне,Лівий місцевий проїзд по м. Підгородне,2.47
О040409,Під’їзд до с. Новомиколаївка,Під’їзд до с. Новомиколаївка,1.94
О040501,Кривий Ріг – станція Гейківка,Кривий Ріг – станція Гейківка,14.651
О040502,Кривий Ріг – Пичугине,Кривий Ріг – Пичугине,6.436
О040503,/Н-23/ – Лозуватка,Н-23 – Лозуватка,6.835
О040504,Лозуватка – станція Грекувата,Лозуватка – станція Грекувата,5.67
О040505,Веселі Терни – Широке – Златоустівка,Веселі Терни – Широке – Златоустівка,35.27
О040506,Веселі Терни – /Т-04-19/,Веселі Терни – Т-04-19,19.3
О040507,Тернівка – Софіївка – /Кривий Ріг – станція Гейківка/,Тернівка – Софіївка – О040501,24.95
О040509,Новопілля – Красівське – Веселе – Вільне – Солдатське,Новопілля – Красівське – Веселе – Вільне – Солдатське,38.49
О040511,/Н-23/ – Вільне,Н-23 – Вільне,3.3
О040601,Аули – /Н–08/,Аули – Н-08,0.924
О040602,//М-04/ – Промінь/ – /Т-04-20/,М-30 – Промінь – Т-04-20,17.985
О040603,/Верхівцеве – Кринички – Семенівка – Новоселівка/ – Миколаївка,Верхівцеве – Кринички – Семенівка – Новоселівка – Миколаївка,34.975
О040605,Адамівка – Калинівка – Болтишка,Адамівка – Калинівка – Болтишка,14.007
