uid,ref,name,official_name,distance,district
574645247,О100101,Баришівка – Лукаші,БАРИШIВКА - ЛУКАШI,15.2,Баришівський район
574645249,О100103,Баришівка – Бзів,БАРИШІВКА - БЗІВ,10.3,Баришівський район
574645251,О100105,Волошинівка – Масківці,ВОЛОШИНIВКА - МАСКІВЦІ,12.2,Баришівський район
574645252,О100106,О100101 – Дернівка,/БАРИШIВКА - ЛУКАШI/- ДЕРНIВКА,3.2,Баришівський район
574645253,О100107,О101013 – Жуківка – Мала Супоївка,/ЗГУРIВКА - БЕРЕЗАНЬ/- /М-03/- МАЛА СУПОЇВКА ЧЕРЕЗ ЖУКІВКУ,11.4,"Згурівський район,Баришівський район"
574645254,О100108,Сезенків – Т-10-18,СЕЗЕНКIВ - /БОРИСПІЛЬ - БЕРЕЗАНЬ-ЯГОТИН/,5.8,Баришівський район
574645255,О100109,Лук'янівка – Селище,ЛУК'ЯНIВКА - СЕЛИЩЕ,11.6,Баришівський район
574645277,О100110,Т-10-18 – Яблуневе – станція Переяславська,/БОРИСПІЛЬ - БЕРЕЗАНЬ - ЯГОТИН/ - ЯБЛУНЕВЕ - СТАНЦIЯ ПЕРЕЯСЛАВСЬКА,5.4,"Баришівський район,Переяслав-Хмельницький район"
574645278,О100111,М-03 – Пристроми,/М-03/ - ПРИСТРОМИ,8.8,"Баришівський район,Переяслав-Хмельницький район"
574645279,О100112,Перемога – Баришівка,ПЕРЕМОГА - БАРИШІВКА,16.5,Баришівський район
574646208,О100201,Мала Вільшанка – Озерна – Гостра Могила – Кривець,МАЛА ВIЛЬШАНКА - ОЗЕРНА - ГОСТРА МОГИЛА - КРИВЕЦЬ,32.9,"Білоцерківський район,Ставищенський район"
574646209,О100202,М-05 – Чупира – Северинівка,/М-05/ - ЧУПИРА - СЕВЕРИНІВКА,8.8,"Білоцерківський район,Таращанський район"
574646210,О100203,М-05 – Насташка,/М-05/ - НАСТАШКА,9.0,"Білоцерківський район,Рокитнянський район"
574646211,О100204,Озерна – Потіївка,ОЗЕРНА - ПОТIЇВКА,7.8,Білоцерківський район
574646212,О100205,Р-04 – Поправка – Черкас – Озерна,/КИЇВ - ФАСТІВ - БІЛА ЦЕРКВА - ТАРАЩА - ЗВЕНИГОРОДКА/- ПОПРАВКА - ЧЕРКАС - ОЗЕРНА,17.8,Білоцерківський район
574646213,О100206,Дрозди – Р-04,ДРОЗДИ - /КИЇВ-ФАСТІВ - БІЛА ЦЕРКВА - ТАРАЩА - ЗВЕНИГОРОДКА/,5.8,Білоцерківський район
574646214,О100207,Узин – Розаліївка – Людвинівка,УЗИН - РОЗАЛІЇВКА - ЛЮДВИНIВКА,16.5,Білоцерківський район
574646215,О100208,Озерна – Межове – Тадіївка,ОЗЕРНА - МЕЖОВЕ - ТАДIЇВКА,6.3,"Білоцерківський район,Володарський район"
574646216,О100209,Узин – Василів – Германівка – Трипілля,УЗИН - ВАСИЛІВ - ГЕРМАНІВКА - ТРИПІЛЛЯ,55.0,"Білоцерківський район,Обухівський район"
574646238,О100210,Іванівка – Блощинці – Сухоліси – Житні Гори – Шубівка,IВАНIВКА - БЛОЩИНЦІ - СУХОЛІСИ - ЖИТНІ ГОРИ - ШУБIВКА,57.0,"Білоцерківський район,Кагарлицький район,Рокитнянський район"
574646239,О100211,Сидори – Дрозди – Шамраївка,СИДОРИ - ДРОЗДИ - ШАМРАЇВКА,23.8,"Білоцерківський район,Сквирський район"
574646240,О100212,Біла Церква – Терезине,БІЛА ЦЕРКВА - ТЕРЕЗИНЕ,2.4,Білоцерківський район
574646241,О100213,Мала Вільшанка – Бакалі – Сорокотяги,МАЛА ВIЛЬШАНКА - БАКАЛИ - СОРОКОТЯГИ,8.5,Білоцерківський район
574646243,О100215,Н-02 – Тарасівка – Житні Гори,/Н-02/ - ТАРАСIВКА - ЖИТНІ ГОРИ,12.3,"Білоцерківський район,Рокитнянський район"
574646244,О100216,Біла Церква – Яблунівка,БIЛА ЦЕРКВА - ЯБЛУНIВКА,17.6,Білоцерківський район
574646246,О100218,Матюші – Трушки,МАТЮШІ - ТРУШКИ,6.3,Білоцерківський район
574647169,О100301,Богуслав – Саварка – Ольшаниця,БОГУСЛАВ - САВАРКА - ОЛЬШАНИЦЯ,26.3,"Богуславський район,Рокитнянський район"
574647170,О100302,Богуслав – Стеблів,БОГУСЛАВ - СТЕБЛIВ,14.0,Богуславський район
574647171,О100303,О100302 – Киданівка,/БОГУСЛАВ - СТЕБЛIВ/ - КИДАНIВКА,6.5,Богуславський район
574647172,О100304,Богуслав – Лука,БОГУСЛАВ - ЛУКА,11.6,"Богуславський район,Таращанський район"
574647173,О100305,Богуслав – Іванівка,БОГУСЛАВ - IВАНIВКА,19.4,Богуславський район
574647176,О100308,Софійка – Щербашенці,СОФIЙКА - ЩЕРБАШЕНЦI,21.8,Богуславський район
574647177,О100309,Богуслав – Розкопанці – Дибинці,БОГУСЛАВ - ДИБИНЦI ЧЕРЕЗ РОЗКОПАНЦI,6.0,Богуславський район
574647201,О100312,Хохітва – Біївці,ХОХIТВА - БIЇВЦI,7.0,Богуславський район
574647202,О100313,Дібрівка – Медвин – Побережка,ДIБРІВКА - ПОБЕРЕЖКА ЧЕРЕЗ МЕДВИН,16.7,Богуславський район
574647203,О100314,Ісайки – Щербашенці,IСАЙКИ - ЩЕРБАШЕНЦI,16.4,Богуславський район
574647204,О100315,Побережка – Боярка,ПОБЕРЕЖКА - БОЯРКА,2.2,Богуславський район
574647205,О100316,Н-01 – Михайлівка – Н-01,/Н-01/ - МИХАЙЛIВКА - /Н-01/,11.4,Богуславський район
574648130,О100401,Т-10-16 – Гора,/КИЇВ - РЕВНЕ - РОГОЗІВ/ - с. ГОРА,4.9,Богуславський район
574648131,О100402,Бориспіль – Дударків – Бзів – М-03,БОРИСПIЛЬ - ДУДАРКIВ - БЗIВ - /М-03/,37.8,"Баришівський район,Богуславський район"
574648132,О100403,Тарасівка – Мирне – Н-08,ТАРАСIВКА - МИРНЕ - /Н-08/,6.4,Богуславський район
574648133,О100404,Кириївщина – Рогозів – Головурів,КИРИЇВЩИНА - РОГОЗIВ - ГОЛОВУРIВ,13.2,Богуславський район
574648134,О100405,Вороньків – Головурів – Сошникив,ВОРОНЬКIВ - ГОЛОВУРIВ - СОШНИКIВ,34.3,Богуславський район
574648135,О100406,Бориспіль – Кийлів,БОРИСПIЛЬ - КИЙЛIВ,22.5,Богуславський район
574648136,О100407,Гнідин – Вишеньки – Петропавлівське,ГНIДИН - ВИШЕНЬКИ - ПЕТРОПАВЛІВСЬКЕ,16.9,Богуславський район
574648137,О100408,"Ревне – Проців – Жереб'ятин – Вороньків з під'їздами до с. Романків, с. Сальків","РЕВНЕ - ПРОЦIВ - ЖЕРЕБ'ЯТИН - ВОРОНЬКIВ З ПІД""ЇЗДАМИ ДО с. РОМАНКІВ, с.САЛЬКІВ",23.8,Богуславський район
574648138,О100409,М-03 – Любарці – Старе,/М-03/ - ЛЮБАРЦI - СТАРЕ,23.7,Богуславський район
574649093,О100503,Бородянка – Гай – Загальці,БОРОДЯНКА - ГАЙ - ЗАГАЛЬЦI,7.6,Бородянський район
574649094,О100504,О100509 – станція Майданівка,/М-07/- МАКАРІВСЬКА БУДА /- СТАНЦIЯ МАЙДАНIВКА,0.9,Бородянський район
574649095,О100505,М-07 – станція Спартак,/М-07/ - СТАНЦIЯ СПАРТАК,2.7,Бородянський район
574649097,О100507,Немішаєве – Миколаївка з під'їздом до с. Хмільна,НЕМIШАЄВЕ - МИКОЛАЇВКА З ПІД'ЇЗДОМ ДО с. ХМІЛЬНА,16.9,"Бородянський район,Києво-Святошинський район"
574649098,О100508,Блиставиця – Буча,БЛИСТАВИЦЯ - БУЧА,7.0,"Бородянський район,Києво-Святошинський район"
574649099,О100509,М-07 – Макарівська Буда,/М-07/- МАКАРІВСЬКА БУДА,16.1,"Бородянський район,Макарівський район"
574649122,О100511,Бородянка – Небрат,БОРОДЯНКА - НЕБРАТ,3.6,Бородянський район
574650052,О100601,Бровари – Княжичі,БРОВАРИ - КНЯЖИЧI,9.0,Броварський район
574650053,О100602,Гоголів – Світильня,ГОГОЛIВ - СВIТИЛЬНЯ,12.1,Броварський район
574650054,О100603,Зазим'я – М-01,ЗАЗИМ'Я - /М-01/,16.4,Броварський район
574650055,О100604,Пухівка – Калинівка,ПУХIВКА - КАЛИНIВКА,8.6,Броварський район
574650056,О100605,Рожни – Велика Димерка – Гоголів,РОЖНИ - ВЕЛИКА ДИМЕРКА - ГОГОЛIВ,30.5,Броварський район
574650057,О100606,Велика Димерка – Красилівка – Требухів,ВЕЛИКА ДИМЕРКА - КРАСИЛIВКА - ТРЕБУХIВ,8.9,Броварський район
574650058,О100607,Залісся – Заворичі,ЗАЛIССЯ - ЗАВОРИЧI,23.2,Броварський район
574650059,О100608,О100607 – Станція Бобрик,/ЗАЛIССЯ - ЗАВОРИЧI/ - СТАНЦIЯ БОБРИК,1.6,Броварський район
574650060,О100609,М-01 – Калита – Бервиця,/М-01/ - КАЛИТА - БЕРВИЦЯ,22.5,Броварський район
574650082,О100610,Бровари – Требухів – Гора,БРОВАРИ - ТРЕБУХІВ - ГОРА,18.4,"Богуславський район,Броварський район"
574650083,О100611,Требухів – Гоголів,ТРЕБУХIВ - ГОГОЛIВ,8.8,Броварський район
574650084,О100612,Шевченкове – Русанів,ШЕВЧЕНКОВЕ - РУСАНIВ,20.8,Броварський район
574650085,О100613,О100605 – залізничний тупик Велика Димерка,/РОЖНИ - ВЕЛИКА ДИМЕРКА - ГОГОЛIВ/- ЗАЛIЗНИЧНИЙ ТУПИК ВЕЛИКА ДИМЕРКА,3.6,Броварський район
574650086,О100614,М-01 – с. Крехаїв з під`їздом до с. Літки,"/М-01/- с.КРЕХАЇВ З ПІД""ЇЗДОМ ДО с.ЛІТКИ",28.1,Броварський район
574651013,О100701,Васильків – Погреби – Р-19,ВАСИЛЬКIВ - /Р-19/ ЧЕРЕЗ ПОГРЕБИ,7.3,Васильківський район
574651014,О100702,Жорнівка – Дзвінкове,ЖОРНІВКА - ДЗВІНКОВЕ,6.8,"Васильківський район,Києво-Святошинський район"
574651016,О100704,Васильків – Застугна,ВАСИЛЬКIВ - ЗАСТУГНА,2.5,Васильківський район
574651017,О100705,Велика Солтанівка – Мала Солтанівка,ВЕЛИКА СОЛТАНІВКА - МАЛА СОЛТАНІВКА,6.9,Васильківський район
574651018,О100706,Васильків – Велика Бугаївка,ВАСИЛЬКIВ - ВЕЛИКА БУГАЇВКА,11.1,Васильківський район
574651019,О100707,Пологи – Дослідницьке – М-05,ПОЛОГИ - ДОСЛIДНИЦЬКЕ-/М-05/,5.6,Васильківський район
574651020,О100708,Т-10-06 – Іванковичі,/ГЛЕВАХА - ПІДГIРЦI/ - IВАНКОВИЧI,3.7,Васильківський район
574651021,О100709,Калинівка – Діброва,КАЛИНIВКА - ДIБРОВА,3.8,Васильківський район
574651043,О100710,Барахти – Тростинка – Саливінки,БАРАХТИ - ТРОСТИНКА - САЛИВІНКИ,24.1,Васильківський район
574651044,О100711,Дзвінкове – Перевіз – Кожухівка,ДЗВIНКОВЕ - КОЖУХIВКА ЧЕРЕЗ ПЕРЕВIЗ,26.3,Васильківський район
574651045,О100712,М-05 – Пінчуки – Тростинська Новоселиця,/ М-05/ - ТРОСТИНСЬКА НОВОСЕЛИЦЯ ЧЕРЕЗ ПIНЧУКИ,7.1,Васильківський район
574651046,О100713,T-10-23 – Станція Глеваха,/ВАСИЛЬКIВ - ГЛЕВАХА/ - СТАНЦIЯ ГЛЕВАХА,1.9,Васильківський район
