uid,ref,official_name,name,distance,district
1057811006,С100101,МАЛА ТАРАСIВКА - ПОДІЛЛЯ,Мала Тарасівка – Поділля,6.4,Баришівський район
1057811005,С100102,СЕЛИЩЕ-ХЛОПКІВ-/БАРИШІВКА-ЛУКАШІ/,Селище – Хлопків – О100101,6,Баришівський район
1057811004,С100103,КОРЖІ- /БОРИСПІЛЬ - БЕРЕЗАНЬ-ЯГОТИН/,Коржі – Т-10-18,5.1,Баришівський район
1057811003,С100104,/М-03/ - БОРЩІВ,М-03 – Борщів,0.5,Баришівський район
1057811002,С100105,/М-03/ - КОРЖІ,М-03 – Коржі,4.6,Баришівський район
1057811001,С100106,СЕМЕНІВКА - ЛЕЛЯКИ - / М-03/,Семенівка – Леляки – М-03,4.7,Баришівський район
1057811000,С100107,/Н-07/-ЛУКЯНІВКА-ВОЙТОВЕ,Н-07 – Лук'янівка – Войтове,22.5,Баришівський район;Згурівський район
1057810999,С100108,КОРНІЇВКА-НЕДРА-/ЗГУРІВКА-БЕРЕЗАНЬ - /М-03/,Корніївка – Недра – О100113,12.1,Баришівський район
1057810998,С100109,ЛЕХНІВКА-/ЗГУРІВКА-БЕРЕЗАНЬ- /М-03/,Лехнівка – О100113,2.3,Баришівський район
1057810976,С100110,ПИЛИПЧЕ-/ЗГУРІВКА-БЕРЕЗАНЬ -/ М-03/,Пилипче – О100113,2,Баришівський район
1057810975,С100111,ЯБЛУНЕВЕ - ГРИГОРIВКА,Яблуневе – Григорівка,2.1,Баришівський район
1057810974,С100112,ПАРИШКIВ - БАКУМІВКА,Паришків – Бакумівка,4.2,Баришівський район
1057810973,С100113,/БОРИСПIЛЬ - БЕРЕЗАНЬ-ЯГОТИН/ - ХМЕЛЬОВИК,Т-10-18 – Хмельовик,6.4,Баришівський район
1057810972,С100114,ШВАЧИХА - /БОРИСПІЛЬ - БЕРЕЗАНЬ-ЯГОТИН/,Швачиха – Т-10-18,1.3,Баришівський район
1057810045,С100201,/ФАСТІВ-КОЖАНКА-ФУРСИ-ЯБЛУНІВКА-ВОЛОДАРКА/-МАТЮШІ,Т-10-13 – Матюші,7.2,Білоцерківський район
1057810044,С100202,ДРОЗДИ - ВОЛОДИМИРІВКА - /КИЇВ-ФАСТІВ-Б ЦЕРКВА -ТАРАЩА- ЗВЕНИГОРОДКА/,Дрозди – Володимирівка – Р-04,7.1,Білоцерківський район
1057810043,С100203,МАЗЕПИНЦI - /КИЇВ-ФАСТІВ-БІЛА ЦЕРКВА -ТАРАЩА- ЗВЕНИГОРОДКА/,Мазепинці – Р-04,3.9,Білоцерківський район
1057810042,С100204,СИДОРИ - /КИЇВ-ФАСТІВ-БІЛА ЦЕРКВА - ТАРАЩА-ЗВЕНИГОРОДКА/,Сидори – Р-04,4.1,Білоцерківський район
1057810041,С100205,ПИЛИПЧА - /БІЛА ЦЕРКВА-ТЕТІЇВ-ЛИПОВЕЦЬ-ГУМЕННЕ/-/М-12/,Пилипча – Р-17,3.8,Білоцерківський район
1057810040,С100206,СОРОКОТЯГИ - КОРЖІВКА - ОЗЕРНА,Сорокотяги – Коржівка – Озерна,8.5,Білоцерківський район
1057810039,С100207,/КИЇВ-ФАСТІВ-БІЛА ЦЕРКВА - ТАРАЩА-ЗВЕНИГОРОДКА/ - ВIЛЬНА ТАРАСIВКА,Р-04 – Вільна Тарасівка,1.4,Білоцерківський район
