ref,official_name,name,distance,district
С140544,Лучани-Ліщини,Лучани – Ліщини,0.9,Стрийський район
С140630,Станція Кам'янка-Волоська-(Львів-Рава-Руська),Станція Кам'янка – Волоська – М-09,1.0,Львівський район
С141701,Мігово-Добромиль,Мігово – Добромиль,7.5,Самбірський район
С140837,Сокіл-Желдець,Сокіл – Желдець,4.2,Львівський район
С140681,(Куликів-Великосілки)-Батівка,С140605 – Батівка,1.0,Львівський район
С141749,Нове Місто-Посада Новоміська,Нове Місто – Посада Новоміська,3.5,Самбірський район
С141619,Піддубне-(Червоноград-Рава-Руська),Піддубне – Р-15,2.9,Червоноградський район
С140824,Хренів-Убині,Хренів – Убині,1.0,Львівський район
С140674,Нагірці-Могиляни,Нагірці – Могиляни,4.3,Львівський район
С141813,Баня-Лисовицька-Лани-Соколівські,Баня – Лисовицька – Лани – Соколівські,14.3,Стрийський район
С141828,Подорожнє-Зарічне,Подорожнє – Зарічне,6.5,Стрийський район
С140411,Ортиничі-Биків,Ортиничі – Биків,4.5,Дрогобицький район
С140309,Угри-(Миколаїв-Бібрка),Угри – Т-14-25,1.9,Львівський район
С141059,Загороди-Кути,Загороди – Кути,1.0,Яворівський район
С140687,Куликів-Костеїв,Куликів – Костеїв,5.6,Львівський район
С141616,(Ковель-Жовква)-Межиріччя,Р-15 – Межиріччя,1.0,Червоноградський район
С141028,Підгать-Арламівська Воля,Підгать – Арламівська Воля,2.7,Яворівський район
С141421,Сприня-Підбуж,Сприня – Підбуж,1.6,Самбірський район
С140812,Банюнин-Убині,Банюнин – Убині,6.2,Львівський район
С140132,Панькова-Станіславчик,Панькова – Станіславчик,1.8,Золочівський район
С140302,"Родатичі-(Львів-Шегині)","Родатичі – М-11",0.5,Львівський район
С141428,Острів-Луки,Острів – Луки,4.3,Самбірський район
С140703,Золочів-Кропивна-Новосілки-Брюховичі,Золочів – Кропивна – Новосілки – Брюховичі,52.4,Золочівський район;Львівський район
С141132,Чемеринці-Гуральня,Чемеринці – Гуральня,3.1,Львівський район
С141831,Братківці-Пила,Братківці – Пила,6.1,Стрийський район
С141725,Ясениця Замкова-Піцарево,Ясениця Замкова – Піцарево,4.1,Самбірський район
С140414,(Східниця-Пісочна)-Довге,Т-14-02 – Довге,2.2,Дрогобицький район
С140315,Кліцько-Заболоття,Кліцько – Заболоття,2.2,Львівський район
С140680,(Туринка-Батятичі)-Білий Ліс,С140604 – Білий Ліс,3.5,Львівський район
С141328,Пустельники-Нивиці,Пустельники – Нивиці,7.6,Червоноградський район
С141937,Нижнє Гусине-Кривка,Нижнє Гусине – Кривка,4.4,Самбірський район
С140207,Задвір'я-Балучин,Задвір'я – Балучин,9.3,Золочівський район
С141310,Лопатин-Березівка,Лопатин – Березівка,10.4,Червоноградський район
С141527,Святослав-Коростів,Святослав – Коростів,3.1,Стрийський район
С140102,Кути-Бордуляки,Кути – Бордуляки,8.9,Золочівський район
С141053,Гусаків-Гориславичі,Гусаків – Гориславичі,2.4,Яворівський район
С141523,(Східниця-Верхнє Синьовидне)-Крушельниця,О140406 – Крушельниця,2.5,Стрийський район
С142021,Новини-Старий Яр,Новини – Старий Яр,3.2,Яворівський район
С141307,Радехів-Дмитрів,Радехів – Дмитрів,5.9,Червоноградський район
С140135,Накваша-Попівці-Підкамінь,Накваша – Попівці – Підкамінь,12.5,Золочівський район
С141743,Топільниця-Недільна,Топільниця – Недільна,6.4,Самбірський район
С140836,Константинівка-Зубів Міст,Константинівка – Зубів Міст,1.0,Львівський район
С142024,Воля-Старицька-Старичі,Воля – Старицька – Старичі,1.4,Яворівський район
С141711,Дроздовичі-Міженець-Бісковичі,Дроздовичі – Міженець – Бісковичі,31.0,Самбірський район
С140208,Новосілки-Красне,Новосілки – Красне,14.6,Золочівський район
С140534,Луковець-Журавне,Луковець – Журавне,4.4,Стрийський район
С141249,(Мукачеве-Львів)-Давидів,Н-09 – Давидів,0.5,Львівський район
С141515,Славське-Вигода,Славське – Вигода,22.3,Стрийський район
С140611,Великі Грибовичі-Дубляни,Великі Грибовичі – Дубляни,5.0,Львівський район
С140332,Кліцько-Підзвіринець-Грімно,Кліцько – Підзвіринець – Грімно,12.1,Львівський район
С141238,Поршна-Липники,Поршна – Липники,3.8,Львівський район
С141207,Пустомити-Містки,Пустомити – Містки,6.3,Львівський район
О141805,Під'їзд до м.Моршин,Під'їзд до м.Моршин,6.4,Стрийський район
С141806,Стрий-Заплатин,Стрий – Заплатин,4.9,Стрийський район
С141008,Мостиська Перші-(Львів-Шегині),Мостиська Перші – М-11,2.2,Яворівський район
С141748,Підмостичі-Трушевичі,Підмостичі – Трушевичі,1.0,Самбірський район
С141915,Красне-Мохнате,Красне – Мохнате,5.5,Стрийський район
С140126,Микити-(Накваша-Попівці-Підкамінь),Микити – С140135,1.7,Золочівський район
С140632,Хитрейки-Кунин,Хитрейки – Кунин,4.1,Львівський район
С140237,Новий Ріпнів-Кудир'явці,Новий Ріпнів – Кудир'явці,9.4,Золочівський район
С140525,Вільхівці-Волиця-Гніздичівська -Пчани,Вільхівці – Волиця – Гніздичівська – Пчани,6.9,Стрийський район
С141632,Забужжя-(Сокаль-Червоноград),Забужжя – О141607,1.5,Червоноградський район
О141902,Турка-Східниця,Турка – Східниця,38.9,Дрогобицький район;Самбірський район
С140825,(Миколаїв-Бібрка)-Тадані,Т-14-25 – Тадані,2.0,Львівський район
С141242,(Київ-Чоп)-Гаї-Острів,М-06 – Гаї – Острів,14.8,Львівський район
С140634,(Львів-Рава-Руська)-Березина,М-09 – Березина,2.7,Львівський район
С140127,Шпаки-(Накваша-Попівці-Підкамінь),Шпаки – С140135,1.6,Золочівський район
С141142,(Куровичі-Рогатин)-Залип'я,Т-14-17 – Залип'я,1.1,Львівський район
О141003,Мостиська-Краковець,Мостиська – Краковець,19.1,Яворівський район
С141653,Двірці-Заріка,Двірці – Заріка,0.5,Червоноградський район
С141936,Нижнє Гусине-Верхнє Гусине,Нижнє Гусине – Верхнє Гусине,7.5,Самбірський район
С140683,Зашків-Зарудці,Зашків – Зарудці,2.6,Львівський район
С141642,Жвирка-Завишень,Жвирка – Завишень,2.6,Червоноградський район
С140536,Журавне-Маринка-Тернавка,Журавне – Маринка – Тернавка,10.1,Стрийський район
С141919,(Львів-Ужгород)-Явора,Н-13 – Явора,1.2,Самбірський район
С141816,Миртюки-Розгірче,Миртюки – Розгірче,20.4,Стрийський район
С141804,Стрий-Добрівляни,Стрий – Добрівляни,3.8,Стрийський район
С141048,(Мостиська-Дидятичі)-Санники,С141003 – Санники,1.3,Яворівський район
С141648,Жовтневе-Белз,Жовтневе – Белз,1.8,Червоноградський район
С141424,Блажів-Черхава,Блажів – Черхава,8.0,Самбірський район
С140617,Любеля-Туринка,Любеля – Туринка,11.9,Львівський район
С141102,Бібрка-Добряничі,Бібрка – Добряничі,23.9,Львівський район
С140709,Ремезівці-Сновичі,Ремезівці – Сновичі,1.5,Золочівський район
С140641,Завади-Воля-Висоцька,Завади – Воля – Висоцька,2.0,Львівський район
С140755,Папірня-Сасів,Папірня – Сасів,0.9,Золочівський район
С142022,Середина-Вороблячин,Середина – Вороблячин,1.5,Яворівський район
С141931,Завадівка-Мельничне,Завадівка – Мельничне,4.8,Самбірський район
