ref,name,official_name,distance
М-01,Київ – Чернігів – Нові Яриловичі,Київ — Чернігів — Нові Яриловичі,242.9
М-02,Кіпті – Глухів – Бачівськ,Кіпті — Глухів — Бачівськ,260.2
М-03,Київ – Харків – Довжанський,Київ — Харків — Довжанський,932.7
М-05,Київ – Одеса,Київ — Одеса,560.8
М-06,"Київ – Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород)","Київ — Чоп (на м. Будапешт через мм. Львів, Мукачево і Ужгород)",902.2
М-07,Київ – Ковель – Ягодин (на м. Люблін),Київ — Ковель — Ягодин (на м. Люблін),499.7
М-08,Об’їзд м. Ужгорода – контрольно-пропускний пункт “Ужгород”,Об’їзд м. Ужгорода — контрольно-пропускний пункт “Ужгород”,17.1
М-09,Тернопіль – Львів – Рава-Руська (на м. Люблін),Тернопіль — Львів — Рава-Руська (на м. Люблін),175
М-10,Львів – Краковець (на м. Краків),Львів — Краковець (на м. Краків),70.2
М-11,Львів – Шегині (на м. Краків),Львів — Шегині (на м. Краків),71.6
М-13,Кропивницький – Платонове (на м. Кишинів),Кропивницький — Платонове (на м. Кишинів),258.6
М-14,Одеса – Мелітополь – Новоазовськ,Одеса — Мелітополь — Новоазовськ,691.3
М-15,Одеса – Рені (на м. Бухарест),Одеса — Рені (на м. Бухарест),297.7
М-16,Одеса – Кучурган (на м. Кишинів),Одеса — Кучурган (на м. Кишинів),58.9
М-17,Херсон – Джанкой – Феодосія – Керч,Херсон — Джанкой — Феодосія — Керч,403.5
М-18,Харків – Сімферополь – Алушта – Ялта,Харків — Сімферополь — Алушта — Ялта,703.8
М-19,Доманове – Ковель – Чернівці – Тереблече (на м. Бухарест),Доманове — Ковель — Чернівці — Тереблече (на м. Бухарест),534.1
М-20,Харків – Щербаківка,Харків — Щербаківка,28.4
М-21,Виступовичі – Житомир – Могилів-Подільський (через м. Вінницю),Виступовичі — Житомир — Могилів-Подільський (через м. Вінницю),410.7
М-22,Полтава – Олександрія,Полтава — Олександрія,148.2
М-23,Берегове – Виноградів – Велика Копаня,Берегове — Виноградів — Велика Копаня,50
М-24,Велика Добронь – Мукачево – Берегове – контроньно-пропускний пункт “Лужанка”,Велика Добронь —  Мукачево — Берегове — контроньно-пропускний пункт “Лужанка”,60.5
М-25,Контрольно-пропускний пункт “Соломоново” – Велика Добронь – Яноші,Контрольно-пропускний пункт “Соломоново” — Велика Добронь — Яноші,55.1
М-26,Вилок – Неветленфолу – контрольно-пропускний пункт “Дякове”,Вилок —  Неветленфолу — контрольно-пропускний пункт “Дякове”,20.6
М-27,Одеса – Чорноморськ,Одеса — Чорноморськ,14.1
М-28,Одеса – Южне – М-14,Одеса — Южне — /М-14/,37.2
М-29,Харків – Красноград – Перещепине – Дніпро,Харків — Красноград — Перещепине — Дніпро,198.9
М-30,"Стрий – Умань – Дніпро – Ізварине (через мм. Вінницю, Кропивницький)","Стрий — Умань — Дніпро — Ізварине (через                       мм. Вінницю, Кропивницький)",1402.5
Н-01,Київ – Знам’янка,Київ — Знам’янка,281.5
Н-02,М-06 – Кременець – Біла Церква – Ржищів – Канів – Софіївка,/М-06/ — Кременець — Біла Церква — Ржищів — Канів — Софіївка,516.8
Н-03,Житомир – Чернівці,Житомир — Чернівці,338.4
Н-05,Яни Капу – Сімферополь,Яни Капу — Сімферополь,115
Н-06,Сімферополь – Бахчисарай – Севастополь,Сімферополь — Бахчисарай — Севастополь,66.4
Н-07,Київ – Суми – Юнаківка,Київ — Суми — Юнаківка,333.9
Н-08,Бориспіль – Дніпро – Запоріжжя (через м. Кременчук) – Маріуполь,Бориспіль — Дніпро — Запоріжжя (через м. Кременчук) — Маріуполь,658.4
Н-09,Мукачево – Рахів – Богородчани – Івано-Франківськ – Рогатин – Бібрка – Львів,Мукачево — Рахів — Богородчани  — Івано-Франківськ  — Рогатин  — Бібрка  — Львів,441.2
Н-10,Стрий – Івано-Франківськ – Чернівці – Мамалига (на м. Кишинів),Стрий — Івано-Франківськ — Чернівці — Мамалига (на м. Кишинів),269.3
Н-11,Дніпро – Миколаїв (через м. Кривий Ріг),Дніпро — Миколаїв (через м. Кривий Ріг),240.7
Н-12,Суми – Полтава,Суми — Полтава,150.2
Н-13,Львів – Самбір – Ужгород,Львів —  Самбір —  Ужгород,231.4
Н-14,Олександрівка – Кропивницький – Миколаїв,Олександрівка — Кропивницький — Миколаїв,232.2
Н-15,Запоріжжя – Донецьк,Запоріжжя — Донецьк,210.4
