ref,official_name,name,distance,district,localities
О-02-01-01,Бар – Антонівка -Маньківці,Бар – Антонівка – Маньківці,12.18,Жмеринський район,"Барська міська, Северинівська сільська"
О-02-01-02,Бар - Сеферівка,Бар – Сеферівка,10.8,Жмеринський район,Барська міська
О-02-01-03,Бар - Гармаки,Бар – Гармаки,10.279,Жмеринський район,Барська міська
О-02-01-04,Бар - Комарівці,Бар – Комарівці,7.47,Жмеринський район,Барська міська
О-02-01-05,Гулі - Муровані Курилівці,Гулі – Муровані Курилівці,25.52,Жмеринський – Могилів-Подільський район,"Барська міська, Муровано-Куриловецька селищна"
О-02-01-06,Лугове – Мигалівці –Супівка - Снітків,Лугове – Мигалівці – Супівка – Снітків,30.935,Жмеринський – Могилів-Подільський район,"Барська міська, Копайгородська селищна, Муровано-Куриловецька селищна"
О-02-01-07,Копайгород - станція Котюжани,Копайгород – станція Котюжани,9.527,Жмеринський – Могилів-Подільський район,"Копайгородська селищна, Муровано-Куриловецька селищна"
О-02-01-08,Границя Хмельницької області - Ялтушків,границя Хмельницької області – Ялтушків,8.572,Жмеринський район,Барська міська
О-02-01-09,станція Бар – Чернятин - Жмеринка,станція Бар – Чернятин – Жмеринка,27.0,Жмеринський район,"Барська міська,
Северинівська сільська"
О-02-01-10,Бар – Шаргород - Нові Хоменки,Бар – Шаргород – Нові Хоменки,61.8,Жмеринський район,"Барська міська, 
Копайгородська селищна,
Шаргородська міська, Джуринська сільська"
С-02-01-01,(Бар – Шаргород - Нові Хоменки) - цукровий завод,О-02-01-10 – цукровий завод,2.0,Жмеринський район,Барська міська
С-02-01-02,(Бар – Сеферівка) -Йосипівці,О-02-01-02 – Йосипівці,1.0,Жмеринський район,Барська міська
С-02-01-03,Чемериси Барські -Козарівка,Чемериси Барські – Козарівка,13.2,Жмеринський район,Барська міська
С-02-01-04,(Чемериси Барські-Козарівка) - Шершні,С-02-01-03 – Шершні,1.0,Жмеринський район,Барська міська
С-02-01-05,(Чемериси Барські-Козарівка) - Діброва,С-02-01-03 – Діброва,1.6,Жмеринський район,Барська міська
С-02-01-06,Гайове – Шпирки -Івановецьке,Гайове – Шпирки – Івановецьке,3.5,Жмеринський район,Барська міська
С-02-01-07,(Бар – Гармаки) -Колосівка,О-02-01-03 – Колосівка,1.583,Жмеринський район,Барська міська
С-02-01-08,Ходаки - Слобода Ходацька,Ходаки – Слобода Ходацька,3.14,Жмеринський район,Барська міська
С-02-01-09,Лядова - Пилипи,Лядова – Пилипи,2.2,Жмеринський район,Барська міська
С-02-01-10,Маньківці - Ульянівка,Маньківці – Ульянівка,4.4,Жмеринський район,Северинівська сільська
С-02-01-12,Терешки – Кузьминці - Мартинівка,Терешки – Кузьминці – Мартинівка,15.64,Жмеринський район,Барська міська
С-02-01-13,Сеферівка - Пилипи,Сеферівка – Пилипи,2.605,Жмеринський район,Барська міська
С-02-01-14,Верхівка - Примощаниця,Верхівка – Примощаниця,1.18,Жмеринський район,Копайгородська селищна
С-02-01-15,(границя Хмельницької області – Ялтушків) -Черешневе,О-02-01-08 – Черешневе,0.64,Жмеринський район,Барська міська
С-02-01-16,Лука Барська - Зоряне,Лука Барська – Зоряне,3.1,Жмеринський район,Барська міська
С-02-01-17,Іванівці - Шевченка,Іванівці – Шевченка,4.8,Жмеринський район,Барська міська
С-02-01-18,Окладне - Адамівка,Окладне – Адамівка,1.8,Жмеринський район,Барська міська
С-02-01-19,Ялтушків - Біличин,Ялтушків – Біличин,2.75,Жмеринський район,Барська міська
С-02-01-20,Пляцина - Мирне,Пляцина – Мирне,2.97,Жмеринський район,Барська міська
С-02-01-21,Каноницьке - Затоки,Каноницьке – Затоки,3.2,Жмеринський район,Барська міська
С-02-01-22,Мальчинці - Степанки,Мальчинці – Степанки,6.4,Жмеринський район,Барська міська
С-02-01-23,(Бар – Шаргород - Нові Хоменки) - Киянівка,О-02-01-10 – Киянівка,4.0,Жмеринський район,Барська міська
С-02-01-24,Матейків – Павлівка - Трудолюбівка,Матейків – Павлівка – Трудолюбівка,5.7,Жмеринський район,Барська міська
С-02-01-25,(Бар – Шаргород - Нові Хоменки) - Кошаринці,О-02-01-10 – Кошаринці,2.45,Жмеринський район,Копайгородська селищна
С-02-01-26,Шипинки - Шевченкове,Шипинки – Шевченкове,3.9,Жмеринський район,Копайгородська селищна
С-02-01-27,(Житомир - Могилів-Подільський) - Переліски,М-21 – Переліски,1.0,Жмеринський район,Копайгородська селищна
С-02-01-28,Бар – Гармаки - Гайове,О-02-01-03 – Гайове,2.5,Жмеринський район,Барська міська
С-02-01-29,Верхівка – Ялтушків - Ходаки,Верхівка – Ялтушків – Ходаки,23.572,Жмеринський район,"Барська міська,
Копайгородська селищна"
С-02-01-30,Лядова - Підлісний Ялтушків,Лядова – Підлісний Ялтушків,3.55,Жмеринський район,Барська міська
С-02-01-31,Буцні – Кузьминці -Митки,Буцні – Кузьминці – Митки,8.9,Жмеринський район,Барська міська
С-02-01-32,Стасюки - Чемериське,Стасюки – Чемериське,4.368,Жмеринський район,Барська міська
С-02-01-33,Пляцина - Войнашівка,Пляцина – Войнашівка,1.9,Жмеринський район,Барська міська
С-02-01-34,(Бар – Шаргород -Нові Хоменки) - Мальчивці,О-02-01-10 – Мальчивці,3.4,Жмеринський район,Барська міська
С-02-01-35,Митки – Матейків -Мурашка,Митки – Матейків – Мурашка,12.859,Жмеринський район,Барська міська
С-02-01-36,Шипинки - Попівці,Шипинки – Попівці,4.47,Жмеринський район,Копайгородська селищна
С-02-01-37,Шипинки - станція Копай – Мар’янівка,Шипинки – станція Копай – Мар’янівка,12.32,Жмеринський район,Копайгородська селищна
С-02-01-38,Копай - Зелене,Копай – Зелене,1.5,Жмеринський район,Копайгородська селищна
С-02-01-39,Мар'янівка - Володіївці,Мар'янівка – Володіївці,4.75,Жмеринський район,Копайгородська селищна
С-02-01-40,Копайгород - Грабівці - Каришків,Копайгород – Грабівці – Каришків,17.795,Жмеринський район,Копайгородська селищна
С-02-01-41,Копайгород – Польове – Супівка - Губачівка,Копайгород – Польове – Супівка – Губачівка,18.8,Жмеринський район,Копайгородська селищна
С-02-01-42,(Бар - Гармаки) - (Бар - Комарівці),О-02-01-03 – О-02-01-04,0.9,Жмеринський район,Барська міська
О-02-02-01,Бершадь - Поташня,Бершадь – Поташня,9.205,Гайсинський район,Бершадська міська
О-02-02-02,Бершадь - П’ятківка-Жабокрич - Бондурівка,Бершадь – П’ятківка-Жабокрич – Бондурівка,21.81,Гайсинський район,"Бершадська міська,
Чечельницька селищна"
О-02-02-03,Східний об'їзд м.Бершадь,Східний об'їзд м.Бершадь,10.81,Гайсинський район,Бершадська міська
О-02-02-05,Джулинка - Дяківка-Серебрія,Джулинка – Дяківка-Серебрія,25.843,Гайсинський район,Джулинська сільська
О-02-02-06,Берізки Бершадські -Баланівка,Берізки Бершадські – Баланівка,37.546,Гайсинський район,"Бершадська міська,
Джулинська сільська"
О-02-02-07,Флорине - Голдашівка,Флорине – Голдашівка,19.99,Гайсинський район,Бершадська міська
О-02-02-08,Веселівка - Тернівка,Веселівка – Тернівка,9.012,Гайсинський район,Джулинська сільська
С-02-02-01,(Флорине – Голдашівка) - Романівка,О-02-02-07 – Романівка,1.756,Гайсинський район,Бершадська міська
С-02-02-02,(Краснопілка –Теплик – Бершадь – Саврань – Дубинове) - Хмарівка,Р-54 – Хмарівка,4.384,Гайсинський район,Джулинська сільська
С-02-02-03,(Тульчин – Тростянець –Бершадь) - Бирлівка,Т-02-22 – Бирлівка,2.572,Гайсинський район,Бершадська міська
С-02-02-04,Баланівка - П’ятківка,Баланівка – П’ятківка,3.413,Гайсинський район,"Бершадська міська, Ободівська сільська"
С-02-02-05,Шляхова - Завітне,Шляхова – Завітне,2.48,Гайсинський район,Джулинська сільська
С-02-02-06,Війтівка - Жовняки,Війтівка – Жовняки,5.88,Гайсинський район,Бершадська міська
С-02-02-07,(Могилів-Подільський – Ямпіль – Бершадь –Умань) - хутір Ворони,Т-02-02 – хутір Ворони,2.547,Гайсинський район,Бершадська міська
С-02-02-08,Устя - Лугова,Устя – Лугова,8.84,Гайсинський район,Бершадська міська
С-02-02-09,(Шумилів – Жданове) - Мала Киріївка,С-02-02-20 – Мала Киріївка,1.69,Гайсинський район,Бершадська міська
С-02-02-10,Берізки Бершадські -станція Устя,Берізки Бершадські – станція Устя,6.8,Гайсинський район,"Бершадська міська, Джулинська сільська"
С-02-02-11,(Кидрасівка – Осіївка) - хутір Партизанський,С-02-02-19 – хутір Партизанський,3.123,Гайсинський район,Бершадська міська
С-02-02-12,Мишарівка - М`якохід,Мишарівка – М`якохід,3.019,Гайсинський район,Джулинська сільська
С-02-02-13,П`ятківка -Сільськогосподарське підприємство,П`ятківка – Сільськогосподарське підприємство,6.375,Гайсинський район,Бершадська міська
С-02-02-14,(Флорине - Голдашівка) -Михайлівка,О-02-02-07 – Михайлівка,1.94,Гайсинський район,Бершадська міська
С-02-02-15,М'якохід - Джулинка,М'якохід – Джулинка,11.995,Гайсинський район,Джулинська сільська
С-02-02-16,Чернятка – Завітне -Серебрія,Чернятка – Завітне – Серебрія,22.54,Гайсинський район,Джулинська сільська
С-02-02-17,Сумівка – Війтівка -Велика Киріївка,Сумівка – Війтівка – Велика Киріївка,16.363,Гайсинський район,Бершадська міська
С-02-02-18,(Флорине - Голдашівка) – Лісниче - Вовчок,О-02-02-07 – Лісниче – Вовчок,7.44,Гайсинський район,Бершадська міська
С-02-02-19,Кидрасівка - Осіївка,Кидрасівка – Осіївка,11.612,Гайсинський район,Бершадська міська
С-02-02-20,Шумилів – Устя – Осіївка - Жданове,Шумилів – Устя – Осіївка – Жданове,25.034,Гайсинський район,Бершадська міська
С-02-02-21,(Чернятка - Серебрія) - Кавкули ч/з Шляхову,С-02-02-16 – Шляхова – Кавкули,10.012,Гайсинський район,Джулинська сільська
О-02-03-01,Вінниця – Гнівань -Тиврів,Вінниця – Гнівань – Тиврів,32.111,Вінницький район,"Вінницька міська, Агрономічна сільська, Гніванська міська, Сутисківська селищна, Тиврівська селищна"
О-02-03-02,Некрасове - Микулинці,Некрасове – Микулинці,5.2,Вінницький район,Якушинецька сільська
О-02-03-03,Стрижавка – Мізяків -Гущенці,Стрижавка – Мізяків – Гущенці,19.15,Вінницький - Хмільницький район,"Стрижавська селищна,
Калинівська міська, 
Іванівська сільська"
О-02-03-04,Вороновиця - Іллінці,Вороновиця – Іллінці,38.992,Вінницький район,"Вороновицька селищна,
Липовецька міська, Іллінецька міська"
О-02-03-05,Вороновиця – Тиврів - Шаргород,Вороновиця – Тиврів – Шаргород,71.165,Вінницький - Жмеринський район,"Вороновицька селищна,
Тиврівська селищна, Мурафська сільська, Шаргородська міська"
С-02-03-01,(Бруслинів –Стрижавка) - Переорки,О-02-11-06 – Переорки,1.261,Вінницький район,Стрижавська селищна
С-02-03-03,(Стрижавка – Мізяків – Гущинці) -Тютюнники,О-02-03-03 – Тютюнники,3.865,Вінницький район,Стрижавська селищна
С-02-03-04,(Вінниця – Гнівань –Тиврів) - Рівець,О-02-03-01 – Рівець,3.114,Вінницький район,Агрономічна сільська
С-02-03-05,(Стрижавка – Стадниця –Писарівка) - Славне,С-02-03-21 – Славне,2.219,Вінницький район,Стрижавська селищна
С-02-03-07,Щітки - Хижинці,Щітки – Хижинці,6.3,Вінницький район,"Вінницька міська, Лука-Мелешківська сільська"
С-02-03-08,(Сокиринці - Лука Мелешківська) -Майдан Чапельський,С-02-03-27 – Майдан Чапельський,1.6,Вінницький район,Лука-Мелешківська сільська
С-02-03-09,Іванівка - Хижинці,Іванівка – Хижинці,10.44,Вінницький район,Лука-Мелешківська сільська
С-02-03-10,(Вороновиця – Тиврів – Шаргород) - хутір Дальній,О-02-03-05 – хутір Дальній,2.93,Вінницький район,Вороновицька селищна
С-02-03-11,(Cтрий –Тернопіль –Кропивницький -Знам'янка) - Лисогора,М-30 – Лисогора,2.86,Вінницький район,Якушинецька сільська
С-02-03-13,Кордишівка - Побережне,Кордишівка – Побережне,10.72,Вінницький район,Вороновицька селищна
С-02-03-14,Махнівка - Лисянка,Махнівка – Лисянка,2.6,Вінницький район,Якушинецька сільська
С-02-03-15,(Cтрий –Тернопіль -Кропивницький -Знам'янка) - Якушинці,М-30 – Якушинці,1.085,Вінницький район,Якушинецька сільська
С-02-03-16,Медвеже Вушко -Бохоники,Медвеже Вушко – Бохоники,8.743,Вінницький район,Агрономічна сільська
С-02-03-17,(Стрижавка – Мізяків – Гущинці) - Лаврівка,О-02-03-03 – Лаврівка,1.975,Вінницький район,Стрижавська селищна
С-02-03-18,Ксаверівка – Некрасове - Горбанівка,Ксаверівка – Некрасове – Горбанівка,21.7,Вінницький район,"Агрономічна сільська, Якушинецька сільська"
С-02-03-19,Дорожне - Медвідка,Дорожне – Медвідка,3.76,Вінницький район,Стрижавська селищна
С-02-03-20,(Виступовичі – Житомир - Могилів-Подільський) -Широка Гребля,М-21 – Широка Гребля,3.152,Вінницький район,Якушинецька сільська
С-02-03-21,Стрижавка – Стадниця - Писарівка,Стрижавка – Стадниця – Писарівка,24.696,Вінницький район,"Стрижавська селищна,
Вінницька міська"
