ref,official_name,name,distance,tags
С-070101,Берегове – Мочола,Берегове – Мочола,2.2,Берегівський район
С-070102,Горонглаб – Батрадь,Горонглаб – Батрадь,4.4,Берегівський район
С-070103,(Велика Добронь – Мукачево – Берегове – контрольно-пропускний пункт  „Лужанка”) – Чікош Горонда – Берегуйфалу,М-24 – Чікош Горонда – Берегуйфалу,14.6,Берегівський район
С-070104,Яноші – Чікош Горонда,Яноші – Чікош Горонда,4.9,Берегівський район
С-070105,Шом – Запсонь,Шом – Запсонь,3.9,Берегівський район
С-070106,Астей – Мочола,Астей – Мочола,2.7,Берегівський район
С-070107,Мочола – Гуняди – Вари – Четфолва,Мочола – Гуняди – Вари – Четфолва,13.7,Берегівський район
С-070108,Об’їзд ст. Батьово,Об’їзд ст. Батьово,4.3,Берегівський район
С-070109,Батрадь – Гетен,Батрадь – Гетен,5.6,Берегівський район
С-070110,Попово – Шом – Каштаново,Попово – Шом – Каштаново,5.0,Берегівський район
С-070111,Запсонь – Каштаново,Запсонь – Каштаново,2.1,Берегівський район
С-070112,(Берегове – Виноградів – Велика Копаня) – Велика Бакта – Геча,М-23 – Велика Бакта – Геча,6.3,Берегівський район
С-070113,Чікош Горонда – В. Береги – Бене,Чікош Горонда – В. Береги – Бене,16.0,Берегівський район
С-070115,Боржава – Гребля,Боржава – Гребля,0.8,Берегівський район
С-070116,Попово – Мале Попово,Попово – Мале Попово,2.0,Берегівський район
С-070117,Батьово – Елеватор,Батьово – Елеватор,3.0,Берегівський район
С-070118,Великий Бакош – Малий Бакош,Великий Бакош – Малий Бакош,1.95,Берегівський район
С-070301,Виноградів – Дротинці – Фанчиково,Виноградів – Дротинці – Фанчиково,12.8,Берегівський район
С-070302,Виноградів – Олешник,Виноградів – Олешник,6.7,Берегівський район
С-070303,Великі Ком’яти – Боржавське,Великі Ком’яти – Боржавське,6.0,Берегівський район
С-070304,Королево – Горбки,Королево – Горбки,6.0,Берегівський район
С-070305,Теково – Хижа,Теково – Хижа,9.5,Берегівський район
С-070306,Фанчиково – Нове Село,Фанчиково – Нове Село,3.5,Берегівський район
С-070307,Перехрестя – Карачин – Нове Село,Перехрестя – Карачин – Нове Село,6.3,Берегівський район
С-070308,Матійово – Шаланки,Матійово – Шаланки,12.9,Берегівський район
С-070309,Фанчиково – Притисянське,Фанчиково – Притисянське,3.4,Берегівський район
С-070310,Підвиноградів – Дротинці,Підвиноградів – Дротинці,5.0,Берегівський район
С-070311,Чепа – Гетиня,Чепа – Гетиня,2.8,Берегівський район
С-070312,Широке – Букове,Широке – Букове,5.8,Берегівський район
